Accession	Peptide count	Peptides used for quantitation	Confidence score	Anova (p)	Max fold change	Fractions	Occurrences	HDIghest mean condDItDIon	Lowest mean condDItDIon	Description	DH_152	DH_226	DH_254	DH_292	DI_230	DI_250	DI_286	DI_288	ADK_T1_231	ADK_T1_290	ADK_T1_381	ADK_T1_525	ADK_T2_227	ADK_T2_287	ADK_T2_291	ADK_T2_338
Q9NUV9	8	4	48.2103	3.32E-07	10.39780672	1;2;3	3	DI	DH	GTPase IMAP family member 4 OS=Homo sapiens GN=GIMAP4 PE=1 SV=1	2394.338574	1865.484354	2334.329796	2856.869586	24486.35606	16294.49232	29772.27805	27716.77691	19489.9769	19321.21934	9590.882575	9984.96227	3514.098779	4051.969095	3224.347561	6221.002534
O60271	12	2	65.2357	5.27E-06	4.836714189	1	1	DI	ADK T1	C-Jun-amino-terminal kinase-interacting protein 4 OS=Homo sapiens GN=SPAG9 PE=1 SV=4	25988.01512	29314.36652	43060.66002	58989.44868	45992.55227	36987.92479	51155.97367	49871.78999	8789.011341	6782.522101	9101.228562	13371.29715	21976.67456	15320.25543	19779.23044	19044.14324
Q99873	24	9	164.0426	1.36E-05	3.393235745	1;2;3;4	4	ADK T1	DH	Protein arginine N-methyltransferase 1 OS=Homo sapiens GN=PRMT1 PE=1 SV=2	1250.148141	752.9481546	580.4795651	1209.011171	815.6669412	925.5765038	1105.007251	995.0627186	4633.456851	2729.172879	2688.192336	2818.319816	2357.482052	2558.392884	2156.518589	3141.874699
P21266	21	9	138.3916	1.58E-05	4.846676599	1;2;3;4	4	DI	ADK T1	Glutathione S-transferase Mu 3 OS=Homo sapiens GN=GSTM3 PE=1 SV=3	5908.173286	8840.728068	8698.49247	5987.194766	9137.602668	7627.485146	8402.101513	9461.651928	2574.849048	1848.394446	1056.101061	1665.51864	3689.578325	1690.211851	3287.637414	1512.832872
O76041	17	5	80.8411	1.64E-05	7.234403739	1;2;3	3	DI	ADK T1	Nebulette OS=Homo sapiens GN=NEBL PE=2 SV=1	201495.4843	265187.5718	389942.6966	511489.8751	376743.4046	332719.6703	572927.5319	526239.1919	31516.27147	91308.77724	50560.65269	76618.2884	158393.9996	160562.9541	201958.0491	121660.356
P21397	41	16	305.6148	2.20E-05	3.331626559	1;2;3;4;5	5	DH	ADK T2	Amine oxidase [flavin-containing] A OS=Homo sapiens GN=MAOA PE=1 SV=1	10539.4661	8258.771955	10691.56262	15678.52351	5641.617514	9042.458011	9363.50548	7679.081129	9032.488294	10221.23123	7434.245467	7795.188029	3792.726124	3496.32735	3674.306875	2594.078754
Q13185	9	3	73.7719	3.25E-05	6.088977024	1;2;4	3	ADK T1	DI	Chromobox protein homolog 3 OS=Homo sapiens GN=CBX3 PE=1 SV=4	546.1270636	461.563166	830.5658631	657.8224388	248.9931498	324.6906901	453.8510588	207.4741623	2316.755066	1225.961119	1832.051829	2145.173782	887.6909881	1002.357931	1889.516915	2390.099099
Q2VIR3	14	1	113.3497	3.60E-05	11.24246244	1;2;4;5	4	DI	ADK T1	Putative eukaryotic translation initiation factor 2 subunit 3-like protein OS=Homo sapiens GN=EIF2S3L PE=5 SV=2	39967.88327	67709.28757	104001.5207	111935.5909	110214.7711	83576.67462	139078.9415	135775.8535	3794.540222	16576.12862	6537.649899	14777.0543	34180.43787	30217.69545	44872.59976	16934.86084
Q96B97	28	7	167.5579	4.74E-05	Infinity	1;2;3;4	4	ADK T1	DI	SH3 domain-containing kinase-binding protein 1 OS=Homo sapiens GN=SH3KBP1 PE=1 SV=2	13.33890045	3.69174489	0	0	0	0	0	0	1974.092041	1039.096061	14.08677271	1813.758648	0	0	0	0
P08238	82	27	751.5728	5.50E-05	2.350793296	1;2;3;4;5	5	ADK T2	DI	Heat shock protein HSP 90-beta OS=Homo sapiens GN=HSP90AB1 PE=1 SV=4	31216.34971	24323.74693	22045.12098	33981.37853	23299.68649	19251.10047	22796.99427	18351.03638	57447.47827	40930.71864	41646.66444	53508.61288	40084.32039	62658.94547	39472.01778	54543.33565
